activity_id,activity_date,developer,project_code,project_name,requirement_id,deliverable_id,activity_type,activity_title,activity_summary,systems_touched,files_touched,evidence_refs,reusable_asset_created,reusable_pattern,validation_rule,gap_or_risk,next_action,status,priority,llm_queryable,company_knowledge_candidate,memory_tags,source_skill_file,source_type
D03-A01,2026-07-10,sarujanan,prsd,Postage Reconciliation System Dashboard,REQ-01,D03,investigation,"Found service labels exist in order_id prefixes, but 6,958 labels have no date and cannot enter any weekly report","Asked to compute the workbook's Customer/Service label split (SUMIFS WHERE Label Type = Customer Order). Proved label_type does not exist on order_shipping_billing_detail (checked label_type, service_tier, label_category - 0 of 3 present). Then found 6,958 shipment rows with NO matching order row, whose order_id values carry service-label prefixes: Repla- (57), Resend- (6), manual- (20), plus 5,089 internal 01-xxxxx-xxxxx and 1,163 orphan Amazon-format. So service labels DO exist, encoded in a naming convention rather than a column - correcting my earlier claim that they were simply absent. But order_shipping_billing_detail has ZERO date columns (checked every date/timestamp type and %date% name): a label's date comes only from joining to order_transaction, and orphan labels have no order to join to. Therefore they can never be assigned to a reporting week. Column E would equal column D exactly - not because service labels are zero, but because every undateable service label is silently excluded before the filter runs. Same tautology class as the Gap control.",postgresql-readonly,documentation/16_postgresql_data_requirements.md,"label_type/service_tier/label_category = 0 of 3 columns exist; 6,958 orphan shipment rows; 0 date columns on order_shipping_billing_detail",true,"Silent-exclusion check: before trusting a filtered subset, verify the excluded rows CAN be reached by the filter at all - a filter that never sees a row reports zero, not missing","A weekly SUMIFS is only valid if every candidate row carries a date; rows without a date must be counted and reported, never silently dropped","CRITICAL - 6,958 labels including every replacement and resend can never enter a weekly report; order_shipping_billing_detail needs a label_created_date column, which is a higher priority than label_type",Add label_created_date to order_shipping_billing_detail; backfill label_type from the order_id prefix convention,completed,critical,true,true,"label-type,service-labels,silent-exclusion,orphan-rows,missing-date-column,tautology,prsd,d03",2026-07-10__sarujanan__prsd__REQ-01-D03.md,skill_file
D03-A02,2026-07-10,sarujanan,prsd,Postage Reconciliation System Dashboard,REQ-01,D03,investigation,"Enumerated all 261 carrier_name values; proved the ILIKE heuristic misclassifies 29,250 Royal Mail labels","Listed every distinct carrier_name (260 non-null + NULL). The column is not a carrier field: it holds carriers, services, countries (United Kingdom, Ireland), a warehouse address (Unit 3 Marshbrook Cl), statuses (Issue, Not Set), marketplace badges (prime, eBayPlus) and label types (Return 2kg Hermes, collection order). The largest single value is the EMPTY STRING at 231,875 rows (21.1%) - distinct from NULL (1,393), so any IS NOT NULL check passes 231,875 rows with no carrier. Proved the dashboard's ILIKE '%royal mail%' heuristic misses every Royalmail one-word variant: 14 distinct names, 29,250 labels, all silently falling into OTHERS - which the workbook auto-KILLs. Also misses CRL48, 95g LL, Stamp, Tracked 48 RM, Rm manual, firstclass, europriority. 16 rows have untrimmed whitespace and 30 contain a literal newline.",postgresql-readonly,documentation/16_postgresql_data_requirements.md,"260 distinct non-null carrier_name + NULL; empty string 231,875 rows; Royalmail-no-space variants 14 names / 29,250 labels",true,Free-text-column audit: enumerate every distinct value before writing a matching heuristic - a regex written against the values you expect will silently bucket the ones you did not,"carrier_name_map must split one column into three (carrier, service, label_type) and reject non-carrier values; a NOT NULL constraint must make new strings fail loudly instead of falling into OTHERS","The OTHERS bucket is not a real category - it is whatever the ILIKE chain failed to match, and the workbook auto-KILLs it, so the KILL is firing on misclassification rather than genuine unmapped spend","Raise carrier_name_map to priority 1, above label_type",completed,critical,true,true,"carrier-name-map,free-text,ilike-heuristic,misclassification,others-bucket,empty-string,prsd,d03",2026-07-10__sarujanan__prsd__REQ-01-D03.md,skill_file
D03-A03,2026-07-10,sarujanan,prsd,Postage Reconciliation System Dashboard,REQ-01,D03,investigation,Caught the rate card being restructured live mid-session: blos.postage dropped and split into two tables,"Queried blos.postage to list the rate card and got 'relation does not exist' - a table that had returned 753 rows twenty minutes earlier in the same session. Verified with to_regclass (NULL) and a pg_class sweep. It had been dropped and split into blos.local_postage (45 rows) and blos.international_postage (708 rows), same 753 rows, plus history and import-batch tables. Timestamps prove it: created_at 2026-07-09 16:19/16:21 by import_2026_07_09, updated_at 2026-07-10 09:46/09:53 - identical to the microsecond across every row, so a single bulk UPDATE. updated_by is NULL and both history tables hold 0 rows, so there is no record of who changed the rate card or what it looked like before. Third schema change under this project in one day.",postgresql-readonly,documentation/16_postgresql_data_requirements.md,to_regclass('blos.postage') = NULL; blos.local_postage 45 rows; blos.international_postage 708 rows; local/international_postage_history 0 rows; postage_import_batches 0 rows,true,"Schema-drift detection: re-verify a table exists at the moment you query it, not once per session - a live database can be restructured between two queries in the same conversation",Any bulk UPDATE must populate updated_by and write a history row; a rate-card change with no audit trail cannot be reconciled after the fact,"The rate card was changed with no audit trail: updated_by NULL, 0 history rows, 0 import-batch rows. There is no record of who changed it this morning or its prior state",Ask the data team to populate updated_by and write postage history rows on every rate-card change,completed,critical,true,true,"schema-drift,live-restructure,blos-postage,audit-trail,no-history,rate-card,prsd,d03",2026-07-10__sarujanan__prsd__REQ-01-D03.md,skill_file
D03-A04,2026-07-10,sarujanan,prsd,Postage Reconciliation System Dashboard,REQ-01,D03,analysis,Priced the Booking Log against the live rate card; found the Smart Track forecast is a tautology and list rates overstate,"Joined blos.local_postage.service_name to order_shipping_billing_detail.carrier_name. Exact match covers only 619 of 3,638 labels (17%) because the import inserted a space: rate card says 'ROYAL MAIL TRACKED 48 NEX (2kg)', shipments and Excel both say 'NEX(2kg)'. Normalising whitespace and case lifts coverage to 2,313 labels (63.6%). Two findings in the resulting Forecast vs Actual: (1) the three Smart Track services show variance of EXACTLY 0.00 across 2,094 labels - carrier_charge for these is generated FROM this rate card, so the forecast compares a number against its own source and will always pass, the same tautology as KPI 22 one layer deeper; (2) every other carrier shows systematically negative variance - DPD list 6.73 vs actual 4.05/label, Evri 5Kg list 3.37 vs actual 2.27 - because the rate card holds LIST prices while we pay NEGOTIATED prices, so Forecast overstates by 25-40% and every such carrier would flag as a saving that is not real.",postgresql-readonly;dashboard,dashboard/postage_reconciliation_dashboard.html,exact match 619/3638; normalised 2313/3638 (63.6%); Smart Track variance 0.00 across 2094 labels; DPD forecast 390.34 vs actual 234.90,true,"Same-source detection: when a forecast and an actual reconcile to exactly 0.00 across thousands of rows, suspect they share a source rather than agreeing",A rate card of list prices cannot be used as Forecast for carriers on negotiated rates; the card must record which rates are contracted,"Forecast overstates by 25-40% on every non-Smart-Track carrier, and the Smart Track forecast validates nothing because carrier_charge is derived from the same rate card","Ask the data team whether blos rates are list or negotiated, and record contracted rates separately",completed,critical,true,true,"forecast,tautology,list-vs-negotiated,rate-card-join,whitespace,same-source,prsd,d03",2026-07-10__sarujanan__prsd__REQ-01-D03.md,skill_file
D03-A05,2026-07-10,sarujanan,prsd,Postage Reconciliation System Dashboard,REQ-01,D03,validation,"Compared the 2026 Postage Price list workbook against PostgreSQL: 19 of 64 priced rows are missing, including all DHL and GLS","Parsed 2026 Postage Price list.xlsx (15 sheets) with the Python stdlib zipfile/ElementTree approach. The consolidated sheet '2026 Overall Price of postage' holds 64 priced rows; blos.local_postage has 45. Missing 19: the entire DE SITE block (13 rows - 6 DHL services, 2 GLS, Canada Post, UPS Standard, USPS, Intelcom, ICS) which has perfectly valid prices and appears to have been skipped when the importer stopped at the DE SITE header; plus 6 Royal Mail/Evri rows whose price cells are malformed in the workbook itself (two Excel DATE SERIALS 46308/46183 and four TEXT RANGES '7.50-12'), which a numeric cast correctly rejects. Also proved the importer CORRUPTED a service name: Excel and shipments both say 'NEX(2kg)', the import wrote 'NEX (2kg)'.",excel;postgresql-readonly,2026 Postage Price  list.xlsx;documentation/16_postgresql_data_requirements.md,"Excel 64 priced rows vs blos.local_postage 45; 13 DE SITE rows dropped; 6 malformed price cells (46308, 46183, 7.50-12); import inserted a space into service_name",true,Source-vs-sink row count: reconcile the source file row count against the loaded table before trusting an import - a silently partial load looks identical to a complete one,"An importer must report rows_skipped and rows_failed (postage_import_batches exists for exactly this and holds 0 rows); a numeric cast failure must be logged, not silently dropped","19 of 64 rate-card rows never loaded, including every DHL and GLS rate, and the importer rewrote a service name so it no longer matches the shipment data",Load the 13 DE SITE rows; stop the importer inserting whitespace; fix the 6 malformed workbook price cells,completed,critical,true,true,"excel-vs-postgres,partial-import,dhl-missing,gls-missing,date-serial,import-corruption,prsd,d03",2026-07-10__sarujanan__prsd__REQ-01-D03.md,skill_file
D03-A06,2026-07-10,sarujanan,prsd,Postage Reconciliation System Dashboard,REQ-01,D03,analysis,"Proved the DHL leakage FAIL is a baseline artifact - against the workbook's own DHL rates DHL is UNDER, not over","Took the six DHL rates straight from the workbook and joined them to W27 shipments; the service names match EXACTLY, no normalisation needed. Result: DHL 513 labels, actual 3,035.67, workbook forecast 3,062.11, variance -26.44 - DHL is UNDER its rate card. The dashboard had been reporting DHL as the sole open leakage of 97.46 with KPI 23 FAILing, but that figure came from the 8-week historical baseline, the substitute I built when no rate card existed. Loading the workbook's DHL rates makes the leak disappear. Wrote this into the GAP-W27-01 root cause rather than let it read as confirmed carrier overbilling.",postgresql-readonly;excel;dashboard,dashboard/data.js;dashboard/postage_reconciliation_dashboard.html,"DHL W27: 513 labels, actual 3035.67, Excel forecast 3062.11, variance -26.44; dashboard previously reported +97.46 LEAK",true,"Substitute-metric audit: when a metric built on a substitute input FAILS, re-test it against the real input before escalating - the failure may be an artifact of the substitute","A leakage flag derived from a substitute baseline must be labelled as such in the register, not presented as confirmed overbilling",The dashboard was escalating DHL as a carrier overbilling leak when the real rate card shows DHL is 26.44 under - a false accusation against a carrier,Load DHL rates into blos.local_postage and re-derive KPI 23,completed,high,true,true,"dhl,leakage,false-positive,baseline-artifact,substitute-metric,kpi-23,prsd,d03",2026-07-10__sarujanan__prsd__REQ-01-D03.md,skill_file
D03-A07,2026-07-10,sarujanan,prsd,Postage Reconciliation System Dashboard,REQ-01,D03,implementation,"Rebuilt the Weekly Invoice Check to the workbook's exact 16 columns (Sheet 5, A-P)","Restructured the tab to the workbook column names, order and structure: Week Start (A), Week End (B), Carrier (C), Labels Generated (D), Forecast Ex VAT (E), Forecast Inc VAT (F), Invoice Inc VAT (G), Variance (H), Variance % (I), Status (J), Owner (K), Customer Labels (L), Service Labels (M), Customer Forecast (N), Service Forecast (O), Week Label (P). Previously Week Label sat in position 3, Forecast Inc VAT was absent entirely, and a non-workbook column (Estimated Cost) sat between D and G. The user's own spec for column G settled the provenance question raised on D02: G is MANUAL ENTRY from the carrier portal, NULL until invoice received - so carrier_charge never belonged there. G/H/I now render Unavailable and Status (J) reads NOT COMPUTABLE, except Others whose KILL is a carrier rule not a variance rule. E/F are now REAL, priced from blos.local_postage per the SUMIFS definition, and reproduce the dashboard's own KPI cards exactly (2,313 priced, 6,704.22 inc VAT). Partly-priced carriers show a coverage pill so a bare 4,770.96 for Royal Mail cannot read as a complete forecast when 180 of its labels have no rate. 21/21 automated checks pass.",dashboard,dashboard/postage_reconciliation_dashboard.html;dashboard/data.js,16 columns A-P in workbook order; G/H/I Unavailable; J NOT COMPUTABLE except Others=KILL; forecast_inc_vat total 6704.22 ties KPI card; 21/21 checks pass,true,"Coverage-pill pattern: when an aggregate is computed over a partially-matched set, show the coverage percentage beside it - a complete-looking total over an incomplete set is worse than no total","A dashboard column must carry the workbook's column name AND its semantics; a manual-entry field with no source renders Unavailable, never a substitute value","Forecast E/F is only 63.6% covered; DHL, Amazon Shipping and GLS have no rate-card rows at all, so their forecast is Unavailable","Load the missing rate-card rows, then re-derive E/F at full coverage",completed,high,true,true,"weekly-invoice-check,workbook-parity,columns-a-p,manual-entry,coverage-pill,not-computable,prsd,d03",2026-07-10__sarujanan__prsd__REQ-01-D03.md,skill_file
D03-A08,2026-07-10,sarujanan,prsd,Postage Reconciliation System Dashboard,REQ-01,D03,implementation,Corrected the Royal Mail carrier mapping and removed the last mislabelled Invoice column,"Fixed the carrier-family mapping to catch CRL48 and Tracked 48 RM services, which do not contain the string 'royal mail' and were falling into Others: Royal Mail 2,276 to 2,282 labels, Others 23 to 21. Renamed the Leakage Register's 'Invoice GBP' column to 'Actual Charge GBP' - the same mislabel identified on D02, now zero occurrences remain anywhere in the dashboard. Refreshed the snapshot: 3,638 labels, actual 12,527.90, baseline 12,650.46. The Dashboard tab keeps the historical-baseline view clearly labelled as such; it is not a workbook column so it no longer appears on the Weekly Invoice Check sheet.",dashboard,dashboard/postage_reconciliation_dashboard.html;dashboard/data.js,"Royal Mail 2276->2282, Others 23->21; 0 occurrences of 'Invoice GBP' mislabel remain; 21/21 checks pass",false,,"A substitute value must be renamed on the surface, not footnoted - applied consistently across every tab, not just the one under review",The carrier ILIKE heuristic is still hardcoded and will misclassify any new carrier string; carrier_name_map remains the fix,Replace the ILIKE heuristic with carrier_name_map once it exists,completed,medium,true,true,"carrier-mapping,crl48,mislabel,actual-charge,snapshot-refresh,prsd,d03",2026-07-10__sarujanan__prsd__REQ-01-D03.md,skill_file
D03-A09,2026-07-10,sarujanan,prsd,Postage Reconciliation System Dashboard,REQ-01,D03,implementation,Made the data tables fit the viewport height so the pager stays on screen,"The .tscroll container had a hardcoded max-height of 600px, which pushed the pager below the fold. Added fitTables(), which measures the scroll container's real position and subtracts the pager and footer heights from the viewport height. It measures rather than assumes because the KPI strip is a different height on each tab, so a fixed calc(100vh - 260px) would be right on one tab and wrong on the rest. Uses getBoundingClientRect().top + window.scrollY so a partly-scrolled page cannot skew the measurement. Runs on every render() - all eight redraw paths (tab, page, sort, search, filter, rows-per-page) already route through it - plus debounced resize and once on load. Multi-table pages fall back to 420px each; 200px floor on short windows. Sticky thead preserved.",dashboard,dashboard/postage_reconciliation_dashboard.html,fitTables() at 5 call sites; JS parses; 0 external deps; sticky thead intact,true,"Measure-do-not-assume layout: compute a viewport-fit height from getBoundingClientRect at render time rather than hardcoding a calc() offset, when the content above the element varies by view",,,Re-check fit at the 720px breakpoint,completed,low,true,true,"ui,viewport-fit,table-height,sticky-header,responsive,prsd,d03",2026-07-10__sarujanan__prsd__REQ-01-D03.md,skill_file
D03-A10,2026-07-10,sarujanan,prsd,Postage Reconciliation System Dashboard,REQ-01,D03,analysis,"Traced sample orders end to end and confirmed domestic classification is inferred, not stored","Pulled every column for order 203-4879249-8301944 across every referencing table: 1 line item, 1 shipment row, 0 returns, 0 messages, and notably 0 rows in amz_order_expenses - so no invoice-side figure exists for the shipment from any source. Classified it domestic from warehouse_location UK to shipping_country United Kingdom, UK marketplace, Royal Mail Tracked 48 (a domestic-only service) and a DY6 postcode - but flagged that this is INFERRED, not read: there is no destination_zone column, so the dashboard cannot classify Domestic/EU/RoW from source data and cannot resolve the Rate Card zone enum. The row also demonstrates the shipping_template_price defect concretely: 0.0 while carrier_charge is 2.72. Across four near-identical orders the column reads 0.00, 2.74, 2.41, 0.00 - neither the charge nor a consistent forecast.",postgresql-readonly,documentation/16_postgresql_data_requirements.md,"order 203-4879249-8301944: 1 order_transaction row, 1 shipment row, 0 amz_order_expenses; shipping_template_price 0.0 vs carrier_charge 2.72",false,,"Destination classification must come from a stored destination_zone column, never inferred by comparing warehouse_location to shipping_country","Customer PII (name, address, phone, email) sits in order_shipping_billing_detail and must never reach the standalone HTML, data.js, the docs or any CSV export - none are access-controlled",Add destination_zone to order_shipping_billing_detail,completed,medium,true,true,"order-trace,destination-zone,pii,shipping-template-price,inferred-classification,prsd,d03",2026-07-10__sarujanan__prsd__REQ-01-D03.md,skill_file
